COLD47OS_06|Osplendens	Cold dehydrin	Cold dehydrin (Fragment)	Cold dehydrin	Cold dehydrin	Cold dehydrin (Fragment)	Cold dehydrin (Fragment)	Cold dehydrin (Fragment)	Cold dehydrin (Fragment)	Cold-acclimation specific protein 15	Cold dehydrin (Fragment)
COLD47OA_07|Oarctobia	Cold dehydrin	Cold dehydrin	Cold dehydrin (Fragment)	Cold dehydrin	Cold dehydrin (Fragment)	Cold dehydrin (Fragment)	Cold dehydrin (Fragment)	Cold dehydrin (Fragment)	Cold-acclimation specific protein 15	Cold dehydrin (Fragment)
PDK_30s895221g001|Pdactylifera	Uncharacterized protein	Dehydrin	Dehydrin 13	Dehydrin 13	Dehydrin 13	Dehydrin 13	Uncharacterized protein	Maturation-associated SRC1-like protein	Dehydrin	Low temperature inducible SLTI66
C.cajan_05184|Ccajan	Uncharacterized protein	Drought-induced protein	KS-type dehydrin SLTI629	Uncharacterized protein	Cold dehydrin	Cold dehydrin	Cold dehydrin (Fragment)	Putative uncharacterized protein	Cold dehydrin	Uncharacterized protein
Ca_20934|Carietinum	Uncharacterized protein	Uncharacterized protein	Drought-induced protein	Dehydrin	Maturation-associated SRC1-like protein	Uncharacterized protein	Low temperature inducible SLTI66	KS-type dehydrin SLTI629	Uncharacterized protein	Cold-induced protein
Ca_08212|Carietinum	Cold acclimation-specific protein	Cold acclimation specific protein	Cold acclimation responsive protein BudCAR5	KS-dehydrin	Cold-acclimation specific protein 15	Cold acclimation responsive protein BudCAR3	Antifreeze protein	Cor 15	Cold dehydrin	Cold dehydrin (Fragment)
Aquca_004_00603|Acoerulea	Cold stress protein src1-like protein (Fragment)	Dehydrin	Cold stress protein (Fragment)	Dehydrin	Cold stress protein src1-like protein (Fragment)	Dehydrin COR15	Water stress induced protein	COR15	Water stress-induced protein	Uncharacterized protein
474716|Alyrata	Putative uncharacterized protein	At1g54410	Water stress-induced protein, putative	Putative uncharacterized protein	Uncharacterized protein	Uncharacterized protein	Uncharacterized protein	Water stress-induced protein	Water stress induced protein	Stress protein
AT1G54410|Athaliana	At1g54410	Water stress-induced protein, putative	Putative uncharacterized protein	Putative uncharacterized protein	Uncharacterized protein	Uncharacterized protein	Uncharacterized protein	Water stress-induced protein	Water stress induced protein	Stress protein
Bradi1g13330|Bdistachyon	Uncharacterized protein	Uncharacterized protein	Dehydrin 13	Uncharacterized protein	LIP5	Dehydrin family protein, expressed	Putative uncharacterized protein Sb01g013000	Dehydrin 13	Dehydrin 13	Dehydrin 13
Carubv10021201m.g|Crubella	Uncharacterized protein	At1g54410	Water stress-induced protein, putative	Putative uncharacterized protein	Putative uncharacterized protein	Uncharacterized protein	Water stress induced protein	Uncharacterized protein	Stress protein	Water stress-induced protein
evm.TU.supercontig_161.14|Cpapaya	Maturation-associated SRC1-like protein	SRC1	Uncharacterized protein	Dehydrin	Putative uncharacterized protein	Uncharacterized protein	Uncharacterized protein	KS-type dehydrin SLTI629	Low temperature inducible SLTI66	Uncharacterized protein
orange1.1g036567m.g|Csinensis	Cold stress protein (Fragment)	Dehydrin	Dehydrin COR15	COR15	Dehydrin	Cold stress protein	Dehydrin	Cold acclimation protein 1	Uncharacterized protein	Maturation-associated SRC1-like protein
Cucsa.338040|Csativus	SRC1	Putative uncharacterized protein	Uncharacterized protein	Uncharacterized protein	Uncharacterized protein	Uncharacterized protein	Low temperature inducible SLTI66	Uncharacterized protein	KS-type dehydrin SLTI629	Uncharacterized protein
Lus10020271.g|Lusitatissimum	Dehydrin	Cold stress protein (Fragment)	Dehydrin COR15	COR15	Dehydrin	Dehydrin	Iron transport protein 2	Water stress-induced protein	Uncharacterized protein	Water stress induced protein
cassava4.1_019934m.g|Mesculenta	Low temperature inducible SLTI66	Putative uncharacterized protein	SRC1	Dehydrin	Uncharacterized protein	Uncharacterized protein	Iron transport protein 2	Cold and drought regulatory protein	Maturation-associated SRC1-like protein	Uncharacterized protein
cassava4.1_019931m.g|Mesculenta	Cold stress protein (Fragment)	Dehydrin	Dehydrin	COR15	Dehydrin COR15	Dehydrin	Iron transport protein 2	Low temperature inducible SLTI66	Uncharacterized protein	SRC1
Medtr7g086340|Mtruncatula	Cold acclimation responsive protein BudCAR3	CAS15	CAS15	Cold acclimation responsive protein CAR1	Cold-acclimation specific protein 15	Cold acclimation-specific protein	Cold acclimation responsive protein BudCAR5	Cold acclimation specific protein	KS-dehydrin	Cor 15
LOC_Os03g45280|Osativa	Dehydrin family protein, expressed	LIP5	Uncharacterized protein	Water-stress inducible protein	Os03g0655400 protein	Dehydrin 13 (Fragment)	Putative uncharacterized protein Sb01g013000	Dehydrin 13	Uncharacterized protein	Dehydrin 13 (Fragment)
Phvul.001G114100|Pvulgaris	Uncharacterized protein	Drought-induced protein	Dehydrin	Uncharacterized protein	Uncharacterized protein	Putative uncharacterized protein	KS-type dehydrin SLTI629	Cold acclimation responsive protein BudCAR5	SRC1	Cold-acclimation specific protein 15
30072.t000037|Rcommunis	Iron transport protein 2	Dehydrin	Low temperature inducible SLTI66	Uncharacterized protein	Cold stress protein (Fragment)	Dehydrin	Putative uncharacterized protein	COR15	Dehydrin COR15	Dehydrin
PGSC0003DMG400027197|Stuberosum	Uncharacterized protein	DHN10	Dehydrin-like protein	Cold-inducible protein	Uncharacterized protein	Water stress-induced protein	Water stress induced protein	Stress protein	Uncharacterized protein	Cold stress protein (Fragment)
Thecc1EG025860|Tcacao	Cold stress protein (Fragment)	Dehydrin	COR15	Dehydrin	Dehydrin COR15	Cold stress protein	Dehydrin	Uncharacterized protein	Putative uncharacterized protein	Dehydrin 10
Thhalv10023775m.g|Esalsugineum	Uncharacterized protein	Uncharacterized protein	Stress protein	Water stress-induced protein	Water stress induced protein	At1g54410	Water stress-induced protein, putative	Putative uncharacterized protein	Putative uncharacterized protein	Uncharacterized protein
